2025-10-26 21:30,soopeewee,LBMX,Team Essentials,NCC Arena1,U15HL,"616 Goulais Avenue, Sault Ste. Marie, ON            "
2025-11-23 18:00,soopeewee,SPWHL BLACK,SPWHL RED,NCC Arena1,U18HL,"616 Goulais Avenue, Sault Ste. Marie, ON            "
2025-10-24 18:00,soopeewee,Soo PEP Hockey,Prouse Chevrolet,Rankin Arena,U15HL,"17 Batchewana St, Sault Ste. Marie, ON            "
2025-10-24 19:30,soopeewee,Sault NISSAN,Stellar Duct Cleaning,Rankin Arena,U15HL,"17 Batchewana St, Sault Ste. Marie, ON            "
2025-12-14 13:30,soopeewee,SooToday SPACES,Mrs. B's Pizza,JR2,U13A,"260 Elizabeth St, Sault Ste. Marie, ON            "
2025-12-14 15:00,soopeewee,Soo PEP Hockey,Stellar Duct Cleaning,JR2,U15HL,"260 Elizabeth St, Sault Ste. Marie, ON            "
2025-10-29 21:30,soopeewee,SK Group,Soo Pee Wee Arena,JR2,U18A,"260 Elizabeth St, Sault Ste. Marie, ON            "
2025-11-02 18:00,soopeewee,SPWHL RED,SPWHL BLUE,NCC Arena1,U18HL,"616 Goulais Avenue, Sault Ste. Marie, ON            "
2025-11-02 21:30,soopeewee,Carpet One,Team Essentials,NCC Arena1,U15HL,"616 Goulais Avenue, Sault Ste. Marie, ON            "
2025-10-27 18:00,soopeewee,SK Group,Northside Volkswagen,Rankin Arena,U18A,"17 Batchewana St, Sault Ste. Marie, ON            "
2025-11-21 19:00,soopeewee,SK Group,Northside Volkswagen,NCC Arena1,U18A,"616 Goulais Avenue, Sault Ste. Marie, ON            "
2025-11-19 21:30,soopeewee,Northside Volkswagen,SK Group,JR2,U18A,"260 Elizabeth St, Sault Ste. Marie, ON            "
2025-12-14 11:00,soopeewee,U7T1 TIMBITS Gold - Miller,U7T1 TIMBITS Red - Figures,PeeWee Arena,U7T1,"285 Northern Avenue East, Sault Ste. Marie, ON  P6B4H9    "
2025-12-14 12:00,soopeewee,U7T1 TIMBITS Forrest Green - Berry,U7T1 TIMBITS  Royal Blue - Longo,PeeWee Arena,U7T1,"285 Northern Avenue East, Sault Ste. Marie, ON  P6B4H9    "
2025-12-14 14:00,soopeewee,U7T2 TIMBITS Purple - Thomas,U7T2 TIMBITS Black - Roach,PeeWee Arena,U7T2,"285 Northern Avenue East, Sault Ste. Marie, ON  P6B4H9    "
2025-12-14 13:00,soopeewee,U7T2 TIMBITS Blue - Williamson,U7T2 TIMBITS Orange - Gearing,PeeWee Arena,U7T2,"285 Northern Avenue East, Sault Ste. Marie, ON  P6B4H9    "
2025-12-14 17:00,soopeewee,Kinze Adventure Dogs,SK Group,PeeWee Arena,U13HL,"285 Northern Avenue East, Sault Ste. Marie, ON  P6B4H9    "
2025-12-14 20:00,soopeewee,EZ Ride,ROY GRAHAM TRUCKING,PeeWee Arena,U13HL,"285 Northern Avenue East, Sault Ste. Marie, ON  P6B4H9    "
2025-12-14 18:30,soopeewee,STACKBURGER,Great Lakes Surface Solutions,PeeWee Arena,U13HL,"285 Northern Avenue East, Sault Ste. Marie, ON  P6B4H9    "
2025-10-19 15:00,soopeewee,Prouse Chevrolet,Sault NISSAN,NCC Arena1,U15HL,"616 Goulais Avenue, Sault Ste. Marie, ON            "
2025-10-19 18:00,soopeewee,SPWHL BLACK,SPWHL GREEN,NCC Arena1,U18HL,"616 Goulais Avenue, Sault Ste. Marie, ON            "
2025-10-19 21:30,soopeewee,Bobcat Trail,Soo PEP Hockey,NCC Arena1,U15HL,"616 Goulais Avenue, Sault Ste. Marie, ON            "
2025-12-12 19:00,soopeewee,SooToday SPACES,Mrs. B's Pizza,PeeWee Arena,U13A,"285 Northern Avenue East, Sault Ste. Marie, ON  P6B4H9    "
2025-12-12 20:30,soopeewee,LBMX,Northside Volkswagen,PeeWee Arena,U13A,"285 Northern Avenue East, Sault Ste. Marie, ON  P6B4H9    "
2025-10-28 18:00,soopeewee,Northside Volkswagen,Winmar,Rankin Arena,U15A,"17 Batchewana St, Sault Ste. Marie, ON            "
2025-10-28 19:30,soopeewee,MALCOLM MEN CONTRACTING,Northern Sports Excellence,Rankin Arena,U15A,"17 Batchewana St, Sault Ste. Marie, ON            "
2025-10-28 17:00,soopeewee,S&T Group,Soo Thunderbirds,PeeWee Arena,U9T1,"285 Northern Avenue East, Sault Ste. Marie, ON  P6B4H9    "
2025-10-28 18:00,soopeewee,Shilo Shock,LBMX,PeeWee Arena,U9T1,"285 Northern Avenue East, Sault Ste. Marie, ON  P6B4H9    "
2025-10-28 20:00,soopeewee,U10H AtoMc ORANGE,U10H AtoMc TEAL,PeeWee Arena,U10HL,"285 Northern Avenue East, Sault Ste. Marie, ON  P6B4H9    "
2025-10-28 19:00,soopeewee,U10H AtoMc RED,U10H AtoMc BLUE,PeeWee Arena,U10HL,"285 Northern Avenue East, Sault Ste. Marie, ON  P6B4H9    "
2025-12-05 18:00,soopeewee,Bobcat Trail,LBMX,Rankin Arena,U15HL,"17 Batchewana St, Sault Ste. Marie, ON            "
2025-12-05 19:30,soopeewee,Sault NISSAN,Prouse Chevrolet,Rankin Arena,U15HL,"17 Batchewana St, Sault Ste. Marie, ON            "
2025-12-04 17:30,soopeewee,SPWHL GREEN,SPWHL BLACK,NCC Arena1,U18HL,"616 Goulais Avenue, Sault Ste. Marie, ON            "
2025-12-05 19:00,soopeewee,Mrs. B's Pizza,Northside Volkswagen,PeeWee Arena,U13A,"285 Northern Avenue East, Sault Ste. Marie, ON  P6B4H9    "
2025-12-05 20:30,soopeewee,SooToday SPACES,LBMX,PeeWee Arena,U13A,"285 Northern Avenue East, Sault Ste. Marie, ON  P6B4H9    "
2025-11-24 17:30,soopeewee,SPWHL GREEN,SPWHL BLUE,JR2,U18HL,"260 Elizabeth St, Sault Ste. Marie, ON            "
2025-10-27 17:30,soopeewee,SPWHL GREEN,SPWHL BLUE,JR2,U18HL,"260 Elizabeth St, Sault Ste. Marie, ON            "
2025-11-03 18:00,soopeewee,Northside Volkswagen,SK Group,Rankin Arena,U18A,"17 Batchewana St, Sault Ste. Marie, ON            "
2025-11-07 18:00,soopeewee,Stellar Duct Cleaning,Soo PEP Hockey,Rankin Arena,U15HL,"17 Batchewana St, Sault Ste. Marie, ON            "
2025-12-07 18:00,soopeewee,SPWHL BLUE,SPWHL BLACK,NCC Arena1,U18HL,"616 Goulais Avenue, Sault Ste. Marie, ON            "
2025-12-07 21:30,soopeewee,Soo PEP Hockey,SLC Legal Solutions,NCC Arena1,U15HL,"616 Goulais Avenue, Sault Ste. Marie, ON            "
2025-12-08 17:30,soopeewee,SPWHL BLUE,SPWHL RED,JR2,U18HL,"260 Elizabeth St, Sault Ste. Marie, ON            "
